sample_id,image_path
33127,D:\amazon ml\Copy of train\train\33127.jpg
198967,D:\amazon ml\Copy of train\train\198967.jpg
261251,D:\amazon ml\Copy of train\train\261251.jpg
55858,D:\amazon ml\Copy of train\train\55858.jpg
292686,D:\amazon ml\Copy of train\train\292686.jpg
9259,D:\amazon ml\Copy of train\train\9259.jpg
191846,D:\amazon ml\Copy of train\train\191846.jpg
222007,D:\amazon ml\Copy of train\train\222007.jpg
37614,D:\amazon ml\Copy of train\train\37614.jpg
238044,D:\amazon ml\Copy of train\train\238044.jpg
254947,D:\amazon ml\Copy of train\train\254947.jpg
283223,D:\amazon ml\Copy of train\train\283223.jpg
21740,D:\amazon ml\Copy of train\train\21740.jpg
170292,D:\amazon ml\Copy of train\train\170292.jpg
71500,D:\amazon ml\Copy of train\train\71500.jpg
266475,D:\amazon ml\Copy of train\train\266475.jpg
88520,D:\amazon ml\Copy of train\train\88520.jpg
125583,D:\amazon ml\Copy of train\train\125583.jpg
271423,D:\amazon ml\Copy of train\train\271423.jpg
260842,D:\amazon ml\Copy of train\train\260842.jpg
267410,D:\amazon ml\Copy of train\train\267410.jpg
201749,D:\amazon ml\Copy of train\train\201749.jpg
194856,D:\amazon ml\Copy of train\train\194856.jpg
81813,D:\amazon ml\Copy of train\train\81813.jpg
234305,D:\amazon ml\Copy of train\train\234305.jpg
154376,D:\amazon ml\Copy of train\train\154376.jpg
202016,D:\amazon ml\Copy of train\train\202016.jpg
116291,D:\amazon ml\Copy of train\train\116291.jpg
234372,D:\amazon ml\Copy of train\train\234372.jpg
116974,D:\amazon ml\Copy of train\train\116974.jpg
178219,D:\amazon ml\Copy of train\train\178219.jpg
248217,D:\amazon ml\Copy of train\train\248217.jpg
22148,D:\amazon ml\Copy of train\train\22148.jpg
7575,D:\amazon ml\Copy of train\train\7575.jpg
100323,D:\amazon ml\Copy of train\train\100323.jpg
109029,D:\amazon ml\Copy of train\train\109029.jpg
38571,D:\amazon ml\Copy of train\train\38571.jpg
56340,D:\amazon ml\Copy of train\train\56340.jpg
196576,D:\amazon ml\Copy of train\train\196576.jpg
274881,D:\amazon ml\Copy of train\train\274881.jpg
166681,D:\amazon ml\Copy of train\train\166681.jpg
